,Artist,Album,Release Date,Lyrics
All of Our Yesterdays,Mac Demarco,Here Comes The Cowboy,"{'year': 2019, 'month': 4, 'day': 2}","Holdin' out
Another day has come and let you down
All of our yesterdays have gone now
Tearin’ up
Lookin' for a shoulder to prop you up

All of our yesterdays have gone now
All of our yesterdays have gone now
All of our yesterdays have gone now
All of our yesterdays have gone

And that don't mean your dream is over
And that dont make your heart beat slower
Such a shame to complain
When all of our yesterdays have gone away

Holdin' on
An image of a memory, another song
All of our yesterdays have gone now
Call me up
When you need a shoulder to prop you up

All of our yesterdays have gone now
All of our yesterdays have gone now
All of our yesterdays have gone now
All of our yesterdays have gone

And that don't mean your dream is over
And that don't make your heart beat slower
Such a shame to complain
When all of our yesterdays have gone away
And that don't mean your dream is over
And that don't make your heart beat slower
Such a shame to complain
When all of our yesterdays have gone away"
Go Easy,Mac Demarco,Salad Days,"{'year': 2014, 'month': 4, 'day': 1}","Pack it up and leave it
Leave it all behind you
Startin' fresh in someone else's town
And though we may be leavin'
I'll be right beside you
To pick you up, until you come around

So please, go easy with my baby
Please, go easy
Please, go easy with my baby
Please, go easy

Honey it can be tough
Without your friends beside you
You built up, just to knock it down
So when you're feelin' rough
I'll be right behind you, to pick you up
Until you come around

So please, go easy with my baby
Please, go easy
Please, go easy with my baby
Please, go easy
Please, go easy with my baby
Please, go easy
Please, go easy with my baby
Please, go easy
So please, go easy with my baby
Please, go easy
Please, go easy with my baby
Please, go easy
So please, go easy with my baby
Please, go easy
Please, go easy with my baby
Please, go easy"
Preoccupied,Mac Demarco,Here Comes The Cowboy,"{'year': 2019, 'month': 5, 'day': 10}","Passin' around, your blood and your body
No conversation to ease up your mind
And nobody seems to see the outside of it
Preoccupied, and nobody's hiding it

Preoccupied, nobody's hiding it
Preoccupied, nobody's hiding it

Opened your mind, filled it with bullshit
Locked up your heart, without even knowing it
It must be a sign, the days that we're living in
Preoccupied, and nobody's hiding it

Preoccupied, and nobody's hiding it
Preoccupied, nobody's hiding it
Preoccupied, yeah, and nobody's hiding it
Preoccupied, and nobody's hiding it"
She’s Really All I Need,Mac Demarco,Rock and Roll Night Club,"{'year': 2012, 'month': 3, 'day': 13}","Up out of bed at three
And I feel like I'm dying
But if she's there next to me
Then there's no use in crying
Cause she's really all I need
It's true my heart is flying
Life can be such a breeze
As long as it's just her and me

Don't bring me down, man
Wearing that frown, man, now
It's tryouts for my brain
Step into my frame now

I smell your arts degree
It's telling me I'm lazy
I'm working so I can eat
So keep that shit away from me
Cause she's really all I need
And up until I'm dying
Life will be such a breeze
As long as it's just her and me

Don't bring me down, man
Wearing that frown, man, now
It's tryouts for my brain
Step into my frame now


Don't bring me down, man
Wearing that frown, man, now
It's tryouts for my brain
Step into my frame now
Don't bring me down, man
Wearing that frown, man, now
It's tryouts for my brain
Step into my frame now"
On the Square,Mac Demarco,Here Comes The Cowboy,"{'year': 2019, 'month': 5, 'day': 7}","Brother's hands
This time its in brother's hands
Baby, are you satisfied?
Is this all that you had in mind?

On the square
Live a life that isn't there
Square it up
Call me once youve had enough

Brother's hands
Feel the grip of brother's hands
Maybe it's been rectified
Locked outside and left to die

On the square
Live a life that isn't there
Square it up
Call me once you've had enough
On the square
Live a life that isn't there
Square it up
Call me once you've had enough"
I’ve Been Waiting for Her,Mac Demarco,Another One,"{'year': 2015, 'month': 7, 'day': 14}","
Give up my life for the rhythm
For the beat of a heart
Like hers
Start it over to the rhythm
To the beat of a heart
Like hers

And believe me
I've been waiting for her
Believe me
I've been waiting for her

Listen closely for the rhythm
To the beat of a heart
Like hers
Could I quit it?
Start it over
To the beat of a heart
Like hers

And believe me
I've been waiting for her
Believe me
I've been waiting for her
Believe me
I've been waiting for her
Believe me
I've been waiting for her
"
Finally Alone,Mac Demarco,Here Comes The Cowboy,"{'year': 2019, 'month': 5, 'day': 10}","Sick of the city, locked in with all the pretty people
You need a vacation
Somewhere that no one ever would dream to go
Somewhere mundane, hop on the train
See where it goes
Finish your ride, hop off and hide
Now that you're finally alone

Oh, yeah, yeah
Honey, you're finally alone
Oh, yeah, yeah, ho

Out in the country, tending to all the pretty cattle
It turns out the cowboy dreams of the city
Who could have ever known?
Hop on a plane, fly out to Spain
Inténtalo, yeah
Pick up your bags, cure your jet lag
Now that you're finally alone

Oh, yeah, yeah
Honey, you're finally alone
Oh, yeah, yeah
Honey, you're finally alone
Oh, yeah, yeah, yeah, yeah
Honey, you're finally alone
Oh, yeah, yeah, ho"
Annie,Mac Demarco,2,"{'year': 2012, 'month': 10, 'day': 16}","Annie knows when it's me
Knows how I'm feeling and gives me her healing
Oh Annie, sit down beside me
Let me confide in you, you know when I'm blue
You know when I'm lonely and, honey, I'm lonely

I'm going down, going down, going down, going down

Annie, daddy won't let me
Daddy won't let me go and that's why I feel so low
Oh Annie, sit down beside me
Let me confide in you, you know when I'm blue
You know when I'm lonely and, honey, I'm lonely

I'm going down, going down, going down, going down"
Just to Put Me Down,Mac Demarco,Another One,"{'year': 2015, 'month': 8, 'day': 7}","She couldn't be from up above
I never want another one
Like her coming around

Picking me up
Just to put me down

She couldn't be from down below
For if she was, my heart would know
And when it knows it just won't go
Down

Picking me up
Just to put me down
Picking me up
Just to put me down
Picking me up
Just to put me down
Picking me up
Just to put me down
Picking me up
Just to put me down
Picking me up
Just to put me down
Picking me up
Just to put me down
Picking me up
Just to put me down
Picking me up
Just to put me down
Picking me up
Just to put me downdown)
Picking me up
Just to put me down
Picking me up
Just to put me down
Picking me up
Just to put me down
Picking me up
Just to put me down
Picking me up
Just to put me down
Picking me up
Just to put me down
Picking me up
Just to put me down
Picking me up
Just to put me down
Picking me up
Just to put me down"
20191009 I Like Her,Mac Demarco,One Wayne G,"{'year': 2023, 'month': 4, 'day': 21}","I'd give the world to her
As long as my heart's still beating
As long as she's next to me
As long as this love's still fleeting

Because I like her

I'd kill in cold blood
I'd draw my own blood
Long as she's there beside me
Life could feel so good

Because I like her

Could it be make believe?
Am I just walking through a dream?
Haven't felt this way in
Such a long time, I do believe

That I like her"
Baby’s Wearing Blue Jeans,Mac Demarco,Rock and Roll Night Club,"{'year': 2012, 'month': 3, 'day': 13}","Standing on the corner, trying to keep it clean
A fine looking woman in a pair of Lee's
Take her back to my place, lay her down in bed
Now she starts to strip down, I say leave 'em on instead

Baby's wearing blue jeans
Baby's wearing blue jeans
Baby's wearing blue jeans
Baby's wearing blue jeans

Later in the evening, dipping in the tub
Washing, wearing Wranglers, I think that I'm in love
Straight leg or a bootcut, legging, darling, please
Stay with me forever, don't take off those jeans

Baby's wearing blue jeans
Baby's wearing blue jeans
Baby's wearing blue jeans
Baby's wearing blue jeans


Baby's wearing blue jeans
Baby's wearing blue jeans
Baby's wearing blue jeans
Baby's wearing blue jeans
Baby's wearing blue jeans
Baby's wearing blue jeans
Baby's wearing blue jeans"
